Supervised Model,Unsupervised Model,Heterogeneous Model,Spectrogram Baseline,twa,num_n_h,mhg,num_n_a,ta,alpha,tw,msw,msa,mgw
0.99,0.985,0.31,0.27,0.1,20.0,mixed,20.0,0.0,2.0,0.5,phon_coo,fixed,full
0.985,0.98,0.185,0.27,0.1,20.0,mixed,20.0,0.0,2.0,0.5,phon_suit,fixed,full
0.99,0.975,0.35,0.27,0.1,20.0,mixed,20.0,0.0,2.0,0.5,phon_count,fixed,full
0.99,0.98,0.15,0.27,0.1,20.0,mixed,20.0,0.0,2.0,0.5,mixed,fixed,full
0.995,0.97,0.355,0.27,0.1,20.0,mixed,20.0,0.0,2.0,0.5,semantics,fixed,full
0.975,1.0,0.345,0.27,0.1,30.0,fixed,30.0,0.0,2.0,0.5,phon_coo,fixed,full
0.99,0.995,0.63,0.27,0.1,30.0,fixed,30.0,0.0,2.0,0.5,phon_suit,fixed,full
0.995,0.995,0.335,0.27,0.1,30.0,fixed,30.0,0.0,2.0,0.5,phon_count,fixed,full
0.985,0.99,0.51,0.27,0.1,30.0,fixed,30.0,0.0,2.0,0.5,mixed,fixed,full
0.995,1.0,0.395,0.27,0.1,30.0,fixed,30.0,0.0,2.0,0.5,semantics,fixed,full
0.99,1.0,0.265,0.27,0.1,30.0,ML,30.0,0.0,2.0,0.5,phon_coo,fixed,full
0.985,0.995,0.36,0.27,0.1,30.0,ML,30.0,0.0,2.0,0.5,phon_suit,fixed,full
0.995,0.995,0.26,0.27,0.1,30.0,ML,30.0,0.0,2.0,0.5,phon_count,fixed,full
1.0,0.985,0.235,0.27,0.1,30.0,ML,30.0,0.0,2.0,0.5,mixed,fixed,full
0.98,1.0,0.265,0.27,0.1,30.0,ML,30.0,0.0,2.0,0.5,semantics,fixed,full
0.99,0.99,0.305,0.27,0.1,30.0,mixed,30.0,0.0,2.0,0.5,phon_coo,fixed,full
0.99,0.995,0.48,0.27,0.1,30.0,mixed,30.0,0.0,2.0,0.5,phon_suit,fixed,full
0.98,1.0,0.445,0.27,0.1,30.0,mixed,30.0,0.0,2.0,0.5,phon_count,fixed,full
0.985,1.0,0.755,0.27,0.1,30.0,mixed,30.0,0.0,2.0,0.5,mixed,fixed,full
0.995,0.995,0.615,0.27,0.1,30.0,mixed,30.0,0.0,2.0,0.5,semantics,fixed,full
